melhor_dist;T_max;T_0;N;num_pontos;execution_time
249.6121052142267;10.0;0.001;1000;11;4113.5
305.1392867704748;10.0;0.001;1000;12;4436.9
566.9922806367135;10.0;0.001;1000;13;0.0
835.960778495354;10.0;0.001;1000;14;0.0
903.492721154239;10.0;0.001;1000;15;0.0
948.1754921762878;10.0;0.001;1000;16;0.0
1092.3599841382816;10.0;0.001;1000;17;0.0
1133.2029912550734;10.0;0.001;1000;18;0.0
886.6344386368743;10.0;0.001;1000;19;0.0
963.5872725835638;10.0;0.001;1000;20;0.0
1174.236532647852;10.0;0.001;1000;21;0.0
1029.4844031034463;10.0;0.001;1000;22;0.0
1084.7903105358885;10.0;0.001;1000;23;0.0
1168.5489891639845;10.0;0.001;1000;24;0.0
1354.6289029183797;10.0;0.001;1000;25;0.0
1037.0426886707876;10.0;0.001;1000;26;0.0
1655.3606503362582;10.0;0.001;1000;27;0.0
1138.6800813308064;10.0;0.001;1000;28;0.0
1255.2096162182472;10.0;0.001;1000;29;0.0
1577.4746861116778;10.0;0.001;1000;30;0.0
1469.943436288076;10.0;0.001;1000;31;0.0
1535.5660330395317;10.0;0.001;1000;32;0.0
1631.4416115853517;10.0;0.001;1000;33;0.0
1633.779735860185;10.0;0.001;1000;34;0.0
1866.794300132198;10.0;0.001;1000;35;0.0
1879.1273525135161;10.0;0.001;1000;36;0.0
1797.0627352228148;10.0;0.001;1000;37;0.0
2150.6428612287773;10.0;0.001;1000;38;0.0
1950.8296703104268;10.0;0.001;1000;39;0.0
1872.5711086257445;10.0;0.001;1000;40;0.0
2190.476949304346;10.0;0.001;1000;41;0.0
2062.400857692979;10.0;0.001;1000;42;0.0
2566.8677519551575;10.0;0.001;1000;43;0.0
2382.009167213309;10.0;0.001;1000;44;0.0
2203.8820142807904;10.0;0.001;1000;45;0.0
2380.4929368617604;10.0;0.001;1000;46;0.0
2807.1074235433152;10.0;0.001;1000;47;0.0
2198.4820988730708;10.0;0.001;1000;48;0.0
2792.840623556677;10.0;0.001;1000;49;0.0
2797.293727101587;10.0;0.001;1000;50;0.0
2539.7283320164097;10.0;0.001;1000;51;0.0
2677.83227523376;10.0;0.001;1000;52;0.0
2873.7799164136227;10.0;0.001;1000;53;0.0
2498.5741083534786;10.0;0.001;1000;54;0.0
2928.359839452581;10.0;0.001;1000;55;0.0
2682.8572093163266;10.0;0.001;1000;56;0.0
2964.094775664218;10.0;0.001;1000;57;0.0
3405.076565798812;10.0;0.001;1000;58;0.0
2845.7237912785204;10.0;0.001;1000;59;0.0
3202.9752793638595;10.0;0.001;1000;60;0.0
3412.52468319771;10.0;0.001;1000;61;0.0
3054.652413329415;10.0;0.001;1000;62;0.0
2993.027587212987;10.0;0.001;1000;63;0.0
3696.8328686127916;10.0;0.001;1000;64;0.0
3399.758980309416;10.0;0.001;1000;65;0.0
2970.304892320712;10.0;0.001;1000;66;0.0
3559.2692313148755;10.0;0.001;1000;67;0.0
3756.613319676293;10.0;0.001;1000;68;0.0
3559.457127916939;10.0;0.001;1000;69;0.0
3467.363651197126;10.0;0.001;1000;70;0.0
3765.439843178911;10.0;0.001;1000;71;0.0
4017.3511639008275;10.0;0.001;1000;72;0.0
3648.1748919208458;10.0;0.001;1000;73;0.0
4011.6680493004756;10.0;0.001;1000;74;0.0
3850.730423693621;10.0;0.001;1000;75;0.0
3527.6840592047433;10.0;0.001;1000;76;0.0
4224.316060251586;10.0;0.001;1000;77;0.0
3913.4582730175744;10.0;0.001;1000;78;0.0
4143.226621313258;10.0;0.001;1000;79;0.0
4091.3097830140723;10.0;0.001;1000;80;0.0
4367.720978525181;10.0;0.001;1000;81;0.0
4313.847013330489;10.0;0.001;1000;82;0.0
4524.164868049723;10.0;0.001;1000;83;1111.3
4059.1398212758645;10.0;0.001;1000;84;0.0
4304.4891647558525;10.0;0.001;1000;85;0.0
4115.203698789789;10.0;0.001;1000;86;0.0
4256.402991417348;10.0;0.001;1000;87;0.0
4558.086807373989;10.0;0.001;1000;88;0.0
4532.625670871481;10.0;0.001;1000;89;0.0
4517.61266276805;10.0;0.001;1000;90;0.0
4466.960738105765;10.0;0.001;1000;91;0.0
4960.013363417284;10.0;0.001;1000;92;0.0
4684.1925821850455;10.0;0.001;1000;93;0.0
4628.011916581805;10.0;0.001;1000;94;0.0
5216.001733876419;10.0;0.001;1000;95;0.0
5077.934609884196;10.0;0.001;1000;96;0.0
5372.122344623155;10.0;0.001;1000;97;0.0
4634.822172516241;10.0;0.001;1000;98;0.0
5390.0912246415655;10.0;0.001;1000;99;0.0
5333.825221974465;10.0;0.001;1000;100;0.0
5305.506316704486;10.5;0.001;1000;10;0.0
5289.990088005207;11.0;0.001;1000;10;0.0
